top,bottom,outer,styleTop,styleBottom,styleOuter,styleUser,userLike
t-shirt,cargo,hoodie,casual,casual,streetwear,formal,0
shirt,trousers,sweater,casual,sporty,sporty,sporty,1
shirt,jogger,jacket,casual,casual,sporty,casual,1
t-shirt,jogger,coat,vintage,streetwear,vintage,vintage,1
t-shirt,cargo,sweater,formal,sporty,streetwear,formal,0
t-shirt,shorts,hoodie,streetwear,streetwear,casual,streetwear,1
t-shirt,shorts,jacket,sporty,sporty,formal,sporty,1
shirt,shorts,sweater,sporty,formal,formal,streetwear,0
dress,none,jacket,vintage,sporty,formal,sporty,0
shirt,skirt,sweater,casual,formal,casual,sporty,0
t-shirt,jogger,coat,vintage,streetwear,vintage,casual,0
t-shirt,jogger,coat,vintage,streetwear,streetwear,vintage,0
t-shirt,cargo,blazer,vintage,sporty,vintage,casual,0
t-shirt,shorts,coat,casual,casual,vintage,casual,1
shirt,jeans,blazer,vintage,formal,formal,streetwear,0
t-shirt,cargo,hoodie,sporty,sporty,formal,sporty,1
dress,none,blazer,formal,formal,sporty,formal,1
t-shirt,shorts,sweater,formal,vintage,sporty,vintage,0
shirt,jeans,hoodie,vintage,sporty,sporty,sporty,1
t-shirt,cargo,jacket,formal,sporty,sporty,sporty,1
t-shirt,jeans,blazer,sporty,vintage,sporty,sporty,1
shirt,jogger,coat,casual,streetwear,streetwear,casual,0
shirt,jeans,hoodie,streetwear,casual,sporty,streetwear,0
shirt,trousers,coat,streetwear,sporty,formal,formal,0
t-shirt,legging,coat,formal,formal,formal,sporty,0
shirt,jogger,jacket,sporty,formal,formal,formal,1
shirt,shorts,sweater,sporty,sporty,sporty,sporty,1
shirt,trousers,blazer,sporty,sporty,sporty,sporty,1
shirt,cargo,jacket,formal,streetwear,casual,casual,0
shirt,trousers,sweater,streetwear,streetwear,streetwear,streetwear,1
dress,none,hoodie,sporty,vintage,formal,sporty,0
shirt,trousers,jacket,formal,formal,casual,vintage,0
t-shirt,skirt,sweater,vintage,streetwear,streetwear,formal,0
shirt,trousers,blazer,vintage,formal,formal,formal,1
t-shirt,shorts,jacket,sporty,sporty,vintage,sporty,1
shirt,shorts,sweater,streetwear,vintage,casual,streetwear,0
t-shirt,jogger,hoodie,vintage,formal,formal,streetwear,0
t-shirt,shorts,hoodie,formal,sporty,sporty,sporty,1
t-shirt,legging,blazer,vintage,sporty,sporty,sporty,1
shirt,jogger,sweater,vintage,casual,vintage,vintage,1
t-shirt,legging,hoodie,sporty,vintage,vintage,casual,0
t-shirt,skirt,hoodie,sporty,casual,sporty,casual,0
t-shirt,jeans,coat,formal,vintage,sporty,vintage,0
shirt,shorts,coat,formal,sporty,sporty,sporty,1
t-shirt,legging,coat,formal,vintage,vintage,vintage,1
t-shirt,cargo,blazer,streetwear,casual,streetwear,streetwear,1
shirt,jogger,sweater,formal,streetwear,sporty,streetwear,0
shirt,jogger,sweater,vintage,sporty,sporty,sporty,1
t-shirt,jogger,hoodie,formal,vintage,vintage,sporty,0
t-shirt,jogger,sweater,sporty,casual,casual,casual,1
t-shirt,jogger,jacket,streetwear,formal,formal,formal,1
t-shirt,trousers,jacket,sporty,vintage,sporty,sporty,1
t-shirt,shorts,hoodie,vintage,vintage,formal,vintage,1
t-shirt,skirt,jacket,casual,casual,sporty,casual,1
shirt,legging,sweater,formal,sporty,formal,casual,0
t-shirt,trousers,sweater,sporty,vintage,sporty,sporty,1
shirt,jeans,coat,vintage,formal,sporty,formal,0
t-shirt,skirt,coat,sporty,vintage,vintage,vintage,1
shirt,shorts,sweater,sporty,sporty,streetwear,formal,0
shirt,jogger,blazer,casual,formal,streetwear,casual,0
shirt,skirt,sweater,vintage,formal,vintage,vintage,1
t-shirt,jeans,hoodie,casual,casual,sporty,casual,1
shirt,skirt,sweater,casual,casual,sporty,casual,1
shirt,legging,coat,sporty,vintage,sporty,sporty,1
dress,none,hoodie,formal,vintage,sporty,sporty,0
shirt,jogger,blazer,formal,vintage,streetwear,formal,0
dress,none,sweater,formal,sporty,sporty,sporty,1
shirt,skirt,hoodie,streetwear,formal,vintage,formal,0
dress,none,coat,streetwear,formal,formal,sporty,0
t-shirt,cargo,hoodie,casual,sporty,casual,casual,1
shirt,skirt,blazer,sporty,casual,casual,casual,1
t-shirt,legging,jacket,casual,formal,formal,sporty,0
shirt,shorts,coat,formal,vintage,formal,streetwear,0
shirt,legging,hoodie,formal,casual,casual,casual,1
shirt,cargo,sweater,casual,formal,formal,formal,1
t-shirt,shorts,coat,sporty,casual,sporty,sporty,1
shirt,shorts,blazer,sporty,sporty,casual,sporty,1
shirt,skirt,sweater,sporty,sporty,casual,casual,0
shirt,shorts,coat,casual,streetwear,sporty,sporty,0
shirt,cargo,hoodie,formal,streetwear,streetwear,streetwear,1
shirt,jeans,sweater,sporty,casual,sporty,vintage,0
t-shirt,jeans,sweater,streetwear,formal,streetwear,streetwear,1
t-shirt,cargo,coat,casual,formal,sporty,casual,0
shirt,jeans,jacket,vintage,vintage,sporty,formal,0
shirt,skirt,sweater,streetwear,vintage,formal,streetwear,0
t-shirt,shorts,sweater,formal,vintage,casual,vintage,0
shirt,shorts,blazer,sporty,vintage,casual,casual,0
t-shirt,skirt,blazer,vintage,casual,streetwear,streetwear,0
shirt,jogger,coat,vintage,vintage,casual,sporty,0
shirt,trousers,jacket,sporty,formal,formal,formal,1
shirt,jogger,hoodie,sporty,vintage,casual,vintage,0
t-shirt,jogger,sweater,vintage,sporty,vintage,vintage,1
shirt,legging,hoodie,vintage,sporty,sporty,vintage,0
shirt,skirt,sweater,vintage,vintage,casual,vintage,1
t-shirt,legging,jacket,sporty,sporty,formal,sporty,1
shirt,shorts,hoodie,vintage,streetwear,vintage,casual,0
t-shirt,jeans,coat,streetwear,streetwear,vintage,formal,0
t-shirt,legging,blazer,casual,casual,streetwear,casual,1
t-shirt,skirt,sweater,formal,streetwear,sporty,streetwear,0
t-shirt,skirt,jacket,vintage,formal,formal,casual,0
dress,none,coat,streetwear,sporty,sporty,vintage,0
shirt,jeans,coat,casual,streetwear,casual,casual,1
shirt,jogger,coat,casual,streetwear,streetwear,vintage,0
t-shirt,cargo,coat,streetwear,casual,streetwear,streetwear,1
shirt,trousers,coat,streetwear,casual,streetwear,streetwear,1
t-shirt,jeans,hoodie,casual,formal,formal,formal,1
shirt,cargo,sweater,casual,casual,formal,formal,0
shirt,jogger,hoodie,sporty,sporty,casual,sporty,1
t-shirt,trousers,blazer,vintage,vintage,vintage,streetwear,0
shirt,trousers,coat,vintage,vintage,vintage,formal,0
t-shirt,jeans,hoodie,casual,casual,vintage,sporty,0
t-shirt,jeans,coat,vintage,vintage,sporty,vintage,1
shirt,cargo,sweater,vintage,formal,formal,formal,1
shirt,legging,coat,vintage,streetwear,streetwear,streetwear,1
shirt,jogger,sweater,casual,casual,sporty,casual,1
shirt,jogger,coat,sporty,casual,sporty,sporty,1
shirt,jeans,coat,casual,sporty,sporty,sporty,1
t-shirt,jogger,coat,sporty,streetwear,sporty,sporty,1
shirt,trousers,hoodie,streetwear,vintage,streetwear,streetwear,1
shirt,jogger,sweater,formal,streetwear,vintage,streetwear,0
t-shirt,trousers,blazer,formal,vintage,vintage,vintage,1
shirt,legging,jacket,casual,sporty,casual,streetwear,0
t-shirt,shorts,hoodie,casual,sporty,sporty,sporty,1
shirt,jeans,coat,streetwear,vintage,vintage,streetwear,0
t-shirt,shorts,jacket,formal,vintage,vintage,vintage,1
shirt,trousers,jacket,sporty,vintage,sporty,casual,0
shirt,jogger,jacket,sporty,sporty,formal,vintage,0
shirt,shorts,sweater,streetwear,formal,formal,vintage,0
shirt,skirt,jacket,vintage,vintage,casual,vintage,1
shirt,jeans,jacket,vintage,casual,sporty,vintage,0
t-shirt,trousers,blazer,vintage,casual,vintage,streetwear,0
shirt,jeans,sweater,formal,casual,casual,formal,0
shirt,jeans,blazer,formal,formal,sporty,formal,1
t-shirt,cargo,blazer,casual,casual,vintage,casual,1
t-shirt,skirt,sweater,vintage,casual,casual,casual,1
shirt,legging,sweater,vintage,sporty,streetwear,vintage,0
t-shirt,skirt,jacket,vintage,streetwear,streetwear,casual,0
t-shirt,jeans,jacket,streetwear,vintage,streetwear,streetwear,1
t-shirt,skirt,sweater,sporty,casual,streetwear,streetwear,0
t-shirt,shorts,blazer,formal,formal,sporty,formal,1
shirt,legging,coat,streetwear,sporty,formal,sporty,0
shirt,trousers,sweater,formal,formal,streetwear,formal,1
shirt,trousers,hoodie,casual,casual,sporty,streetwear,0
shirt,cargo,hoodie,vintage,formal,formal,vintage,0
t-shirt,shorts,jacket,vintage,casual,vintage,vintage,1
shirt,cargo,blazer,streetwear,sporty,sporty,sporty,1
t-shirt,shorts,blazer,vintage,streetwear,streetwear,vintage,0
t-shirt,jeans,hoodie,casual,sporty,casual,casual,1
t-shirt,trousers,coat,formal,sporty,sporty,sporty,1
dress,none,blazer,formal,streetwear,formal,formal,1
dress,none,blazer,vintage,streetwear,streetwear,streetwear,1
shirt,trousers,jacket,streetwear,vintage,streetwear,streetwear,1
t-shirt,jogger,sweater,streetwear,sporty,streetwear,streetwear,1
t-shirt,jogger,jacket,formal,vintage,formal,streetwear,0
t-shirt,jeans,coat,streetwear,streetwear,casual,casual,0
shirt,skirt,blazer,streetwear,formal,formal,streetwear,0
t-shirt,jeans,blazer,casual,formal,streetwear,formal,0
shirt,cargo,hoodie,casual,vintage,casual,casual,1
shirt,trousers,hoodie,streetwear,sporty,sporty,sporty,1
t-shirt,skirt,blazer,streetwear,streetwear,sporty,streetwear,1
shirt,legging,coat,formal,sporty,formal,formal,1
t-shirt,skirt,sweater,casual,casual,streetwear,casual,1
shirt,skirt,sweater,sporty,casual,sporty,sporty,1
t-shirt,shorts,sweater,vintage,vintage,formal,sporty,0
t-shirt,skirt,jacket,streetwear,streetwear,sporty,streetwear,1
t-shirt,cargo,blazer,vintage,sporty,sporty,sporty,1
t-shirt,legging,jacket,vintage,casual,formal,formal,0
t-shirt,jogger,jacket,streetwear,streetwear,vintage,formal,0
t-shirt,legging,coat,casual,casual,formal,formal,0
shirt,cargo,blazer,vintage,streetwear,vintage,vintage,1
shirt,skirt,sweater,formal,sporty,sporty,sporty,1
shirt,cargo,coat,vintage,formal,vintage,vintage,1
shirt,shorts,sweater,casual,sporty,casual,casual,1
shirt,trousers,coat,sporty,sporty,vintage,sporty,1
shirt,jeans,sweater,sporty,formal,streetwear,streetwear,0
t-shirt,jogger,jacket,casual,casual,formal,casual,1
shirt,trousers,hoodie,sporty,streetwear,casual,casual,0
shirt,jogger,sweater,vintage,streetwear,vintage,streetwear,0
t-shirt,shorts,sweater,streetwear,formal,streetwear,streetwear,1
t-shirt,legging,blazer,formal,sporty,streetwear,formal,0
shirt,jogger,hoodie,casual,streetwear,streetwear,streetwear,1
shirt,trousers,jacket,sporty,casual,sporty,vintage,0
t-shirt,shorts,sweater,streetwear,streetwear,casual,streetwear,1
shirt,jeans,sweater,formal,vintage,vintage,casual,0
t-shirt,jeans,hoodie,vintage,formal,vintage,formal,0
shirt,jeans,jacket,streetwear,casual,casual,casual,1
t-shirt,shorts,hoodie,sporty,formal,casual,formal,0
shirt,legging,blazer,formal,vintage,streetwear,vintage,0
t-shirt,skirt,sweater,vintage,casual,vintage,streetwear,0
shirt,jeans,hoodie,vintage,vintage,vintage,vintage,1
t-shirt,trousers,hoodie,streetwear,casual,casual,vintage,0
t-shirt,jogger,hoodie,sporty,vintage,vintage,formal,0
shirt,shorts,hoodie,streetwear,sporty,streetwear,streetwear,1
shirt,legging,jacket,formal,formal,formal,casual,0
shirt,trousers,hoodie,formal,casual,formal,sporty,0
t-shirt,skirt,coat,sporty,sporty,sporty,sporty,1
dress,none,sweater,sporty,streetwear,vintage,sporty,0
t-shirt,trousers,coat,formal,formal,casual,formal,1
t-shirt,shorts,jacket,casual,sporty,vintage,vintage,0
shirt,shorts,coat,formal,casual,formal,formal,1
shirt,jeans,jacket,formal,formal,casual,formal,1
shirt,legging,sweater,casual,sporty,sporty,sporty,1
t-shirt,cargo,hoodie,casual,formal,vintage,vintage,0
shirt,cargo,blazer,streetwear,streetwear,casual,streetwear,1
t-shirt,jeans,jacket,casual,casual,vintage,vintage,0
shirt,jeans,sweater,sporty,streetwear,formal,streetwear,0
shirt,shorts,hoodie,streetwear,streetwear,formal,formal,0
shirt,jogger,blazer,sporty,sporty,vintage,casual,0
t-shirt,jeans,sweater,formal,sporty,sporty,formal,0
shirt,cargo,coat,formal,casual,formal,formal,1
shirt,cargo,sweater,casual,vintage,casual,sporty,0
dress,none,coat,sporty,streetwear,sporty,sporty,1
shirt,jogger,blazer,vintage,formal,vintage,formal,0
t-shirt,jeans,sweater,sporty,vintage,vintage,casual,0
shirt,legging,jacket,formal,formal,casual,streetwear,0
shirt,jogger,jacket,streetwear,vintage,streetwear,streetwear,1
shirt,cargo,coat,vintage,streetwear,sporty,streetwear,0
shirt,legging,jacket,casual,sporty,streetwear,casual,0
dress,none,coat,formal,casual,sporty,sporty,0
shirt,jeans,jacket,vintage,casual,casual,casual,1
t-shirt,trousers,blazer,sporty,formal,sporty,sporty,1
t-shirt,skirt,jacket,vintage,vintage,vintage,vintage,1
shirt,trousers,sweater,sporty,vintage,casual,vintage,0
shirt,shorts,blazer,formal,streetwear,casual,streetwear,0
dress,none,coat,vintage,sporty,sporty,sporty,1
t-shirt,cargo,coat,streetwear,formal,streetwear,casual,0
t-shirt,legging,sweater,casual,streetwear,streetwear,sporty,0
shirt,jogger,sweater,casual,vintage,vintage,vintage,1
t-shirt,jogger,coat,casual,streetwear,casual,vintage,0
shirt,legging,coat,formal,vintage,casual,vintage,0
dress,none,coat,sporty,streetwear,streetwear,sporty,0
shirt,legging,coat,sporty,casual,sporty,vintage,0
shirt,legging,blazer,vintage,casual,casual,casual,1
shirt,skirt,sweater,streetwear,sporty,streetwear,streetwear,1
shirt,cargo,jacket,formal,formal,formal,formal,1
shirt,skirt,sweater,sporty,streetwear,sporty,sporty,1
t-shirt,trousers,blazer,formal,casual,formal,streetwear,0
shirt,trousers,hoodie,vintage,formal,vintage,vintage,1
t-shirt,cargo,blazer,vintage,vintage,casual,vintage,1
shirt,jogger,hoodie,sporty,formal,sporty,casual,0
shirt,skirt,jacket,streetwear,streetwear,formal,streetwear,1
t-shirt,cargo,hoodie,casual,streetwear,streetwear,streetwear,1
t-shirt,shorts,sweater,sporty,formal,sporty,streetwear,0
t-shirt,legging,blazer,sporty,vintage,sporty,sporty,1
t-shirt,skirt,hoodie,sporty,sporty,formal,sporty,1
shirt,legging,hoodie,sporty,sporty,vintage,sporty,1
t-shirt,shorts,jacket,formal,formal,sporty,vintage,0
t-shirt,skirt,coat,streetwear,sporty,sporty,sporty,1
shirt,legging,blazer,streetwear,sporty,sporty,sporty,1
t-shirt,jeans,sweater,formal,formal,sporty,formal,1
shirt,skirt,sweater,formal,sporty,vintage,formal,0
shirt,trousers,hoodie,vintage,casual,vintage,vintage,1
t-shirt,cargo,sweater,vintage,streetwear,sporty,vintage,0
shirt,skirt,jacket,formal,casual,formal,formal,1
shirt,shorts,sweater,casual,casual,sporty,casual,1
shirt,jogger,coat,streetwear,streetwear,formal,streetwear,1
t-shirt,shorts,sweater,sporty,formal,formal,streetwear,0
t-shirt,cargo,coat,vintage,sporty,formal,formal,0
shirt,skirt,blazer,streetwear,formal,casual,streetwear,0
shirt,legging,hoodie,vintage,vintage,casual,vintage,1
shirt,cargo,blazer,sporty,casual,casual,casual,1
shirt,jogger,jacket,formal,casual,casual,casual,1
t-shirt,trousers,hoodie,vintage,vintage,vintage,casual,0
t-shirt,skirt,blazer,vintage,vintage,streetwear,vintage,1
shirt,legging,blazer,casual,streetwear,streetwear,vintage,0
shirt,jogger,sweater,vintage,formal,formal,vintage,0
shirt,legging,jacket,formal,vintage,vintage,vintage,1
t-shirt,jeans,blazer,vintage,vintage,vintage,vintage,1
shirt,cargo,sweater,streetwear,vintage,streetwear,streetwear,1
shirt,cargo,hoodie,vintage,streetwear,streetwear,streetwear,1
shirt,shorts,blazer,vintage,vintage,streetwear,vintage,1
shirt,jogger,hoodie,streetwear,formal,formal,formal,1
t-shirt,jogger,sweater,vintage,sporty,sporty,streetwear,0
shirt,trousers,blazer,formal,vintage,sporty,vintage,0
shirt,trousers,hoodie,vintage,streetwear,formal,vintage,0
t-shirt,skirt,jacket,casual,vintage,vintage,vintage,1
shirt,jeans,blazer,streetwear,streetwear,casual,formal,0
shirt,trousers,jacket,vintage,casual,streetwear,vintage,0
shirt,skirt,hoodie,casual,formal,formal,formal,1
t-shirt,skirt,sweater,vintage,streetwear,vintage,formal,0
t-shirt,trousers,coat,streetwear,casual,casual,casual,1
t-shirt,shorts,sweater,vintage,casual,streetwear,vintage,0
shirt,jeans,jacket,sporty,streetwear,streetwear,streetwear,1
shirt,shorts,jacket,casual,formal,casual,formal,0
t-shirt,shorts,sweater,sporty,sporty,streetwear,sporty,1
dress,none,blazer,formal,sporty,sporty,sporty,1
shirt,trousers,jacket,vintage,vintage,formal,streetwear,0
t-shirt,jogger,blazer,formal,sporty,vintage,sporty,0
shirt,legging,coat,casual,casual,streetwear,formal,0
shirt,cargo,blazer,formal,casual,casual,casual,1
shirt,legging,sweater,formal,vintage,sporty,sporty,0
shirt,skirt,jacket,streetwear,formal,sporty,sporty,0
t-shirt,legging,coat,sporty,formal,formal,formal,1
shirt,jogger,coat,formal,sporty,streetwear,streetwear,0
shirt,trousers,coat,vintage,formal,vintage,vintage,1
shirt,skirt,hoodie,sporty,formal,formal,formal,1
t-shirt,legging,blazer,sporty,sporty,casual,sporty,1
shirt,cargo,jacket,streetwear,formal,formal,streetwear,0
shirt,jeans,sweater,vintage,vintage,sporty,vintage,1
t-shirt,jogger,sweater,formal,casual,casual,streetwear,0
shirt,jeans,coat,vintage,casual,casual,vintage,0
t-shirt,jogger,hoodie,formal,casual,streetwear,formal,0
t-shirt,shorts,jacket,casual,casual,vintage,casual,1
shirt,legging,blazer,sporty,vintage,formal,sporty,0
t-shirt,jeans,hoodie,casual,casual,casual,casual,1
t-shirt,jogger,blazer,casual,casual,streetwear,casual,1
shirt,legging,blazer,vintage,streetwear,sporty,streetwear,0
shirt,cargo,sweater,vintage,vintage,formal,vintage,1
t-shirt,legging,coat,streetwear,vintage,vintage,vintage,1
t-shirt,jogger,jacket,vintage,sporty,vintage,formal,0
shirt,jeans,blazer,sporty,casual,sporty,sporty,1
shirt,trousers,coat,sporty,sporty,formal,sporty,1
t-shirt,shorts,sweater,casual,casual,vintage,casual,1
shirt,legging,coat,sporty,formal,sporty,formal,0
t-shirt,jeans,blazer,casual,casual,vintage,casual,1
t-shirt,jeans,coat,streetwear,streetwear,casual,streetwear,1
shirt,shorts,jacket,streetwear,casual,streetwear,streetwear,1
shirt,trousers,jacket,casual,formal,formal,vintage,0
shirt,cargo,hoodie,streetwear,formal,streetwear,streetwear,1
shirt,legging,jacket,vintage,casual,casual,casual,1
t-shirt,legging,coat,sporty,streetwear,formal,sporty,0
shirt,cargo,sweater,formal,casual,formal,formal,1
shirt,shorts,blazer,casual,casual,formal,formal,0
t-shirt,trousers,hoodie,streetwear,vintage,vintage,sporty,0
t-shirt,cargo,sweater,streetwear,casual,vintage,casual,0
shirt,legging,hoodie,casual,vintage,casual,streetwear,0
t-shirt,legging,jacket,formal,streetwear,vintage,vintage,0
shirt,cargo,coat,streetwear,formal,sporty,sporty,0
shirt,legging,coat,streetwear,streetwear,streetwear,streetwear,1
shirt,jogger,coat,streetwear,formal,vintage,formal,0
t-shirt,legging,sweater,casual,streetwear,streetwear,vintage,0
shirt,cargo,hoodie,formal,formal,vintage,formal,1
shirt,cargo,sweater,streetwear,formal,formal,streetwear,0
shirt,jogger,coat,vintage,formal,formal,formal,1
shirt,shorts,coat,streetwear,sporty,sporty,sporty,1
t-shirt,jeans,jacket,streetwear,casual,streetwear,sporty,0
shirt,legging,sweater,streetwear,streetwear,formal,vintage,0
t-shirt,cargo,sweater,formal,formal,streetwear,formal,1
shirt,cargo,sweater,streetwear,vintage,streetwear,formal,0
t-shirt,trousers,hoodie,casual,sporty,sporty,streetwear,0
shirt,shorts,coat,streetwear,sporty,streetwear,streetwear,1
t-shirt,jogger,coat,formal,vintage,formal,vintage,0
shirt,skirt,coat,vintage,streetwear,casual,vintage,0
t-shirt,jogger,jacket,formal,formal,sporty,formal,1
t-shirt,skirt,hoodie,casual,sporty,sporty,sporty,1
t-shirt,skirt,blazer,vintage,streetwear,streetwear,sporty,0
shirt,shorts,jacket,vintage,sporty,sporty,sporty,1
dress,none,hoodie,streetwear,vintage,streetwear,sporty,0
shirt,trousers,sweater,streetwear,vintage,casual,casual,0
t-shirt,trousers,hoodie,vintage,streetwear,streetwear,casual,0
shirt,shorts,hoodie,vintage,sporty,vintage,vintage,1
t-shirt,trousers,jacket,sporty,vintage,sporty,streetwear,0
shirt,cargo,sweater,streetwear,sporty,sporty,sporty,1
shirt,jeans,hoodie,streetwear,streetwear,vintage,streetwear,1
t-shirt,trousers,hoodie,formal,casual,casual,vintage,0
t-shirt,cargo,blazer,vintage,streetwear,casual,vintage,0
t-shirt,jeans,blazer,vintage,streetwear,streetwear,streetwear,1
shirt,cargo,coat,casual,vintage,formal,casual,0
t-shirt,cargo,hoodie,casual,formal,formal,formal,1
t-shirt,shorts,sweater,vintage,casual,casual,casual,1
t-shirt,skirt,jacket,sporty,streetwear,vintage,vintage,0
t-shirt,cargo,coat,casual,casual,sporty,casual,1
t-shirt,jogger,blazer,streetwear,vintage,streetwear,streetwear,1
shirt,shorts,sweater,streetwear,streetwear,casual,streetwear,1
t-shirt,legging,sweater,vintage,vintage,formal,vintage,1
t-shirt,legging,coat,streetwear,vintage,formal,formal,0
shirt,trousers,coat,formal,streetwear,streetwear,streetwear,1
t-shirt,skirt,sweater,casual,sporty,sporty,formal,0
t-shirt,jogger,sweater,casual,casual,casual,sporty,0
shirt,skirt,sweater,streetwear,sporty,casual,sporty,0
t-shirt,jeans,coat,casual,casual,sporty,casual,1
shirt,jogger,coat,casual,casual,vintage,casual,1
t-shirt,shorts,jacket,sporty,streetwear,sporty,formal,0
shirt,jeans,sweater,vintage,vintage,casual,vintage,1
shirt,cargo,hoodie,vintage,formal,vintage,vintage,1
shirt,jeans,hoodie,streetwear,streetwear,sporty,streetwear,1
shirt,jeans,hoodie,sporty,vintage,vintage,vintage,1
t-shirt,jeans,blazer,formal,formal,vintage,formal,1
t-shirt,cargo,sweater,streetwear,casual,streetwear,streetwear,1
t-shirt,trousers,blazer,vintage,vintage,vintage,vintage,1
t-shirt,legging,blazer,casual,streetwear,sporty,streetwear,0
shirt,cargo,hoodie,casual,sporty,sporty,formal,0
t-shirt,cargo,blazer,sporty,vintage,vintage,vintage,1
t-shirt,shorts,blazer,streetwear,streetwear,formal,streetwear,1
t-shirt,cargo,coat,casual,sporty,sporty,sporty,1
t-shirt,cargo,blazer,casual,casual,formal,casual,1
t-shirt,trousers,coat,formal,formal,vintage,formal,1
shirt,jeans,blazer,sporty,vintage,vintage,vintage,1
t-shirt,legging,hoodie,vintage,formal,formal,formal,1
shirt,legging,coat,vintage,formal,vintage,vintage,1
shirt,jeans,coat,streetwear,vintage,streetwear,streetwear,1
shirt,skirt,hoodie,vintage,formal,vintage,casual,0
t-shirt,legging,sweater,formal,streetwear,formal,streetwear,0
t-shirt,jeans,jacket,formal,sporty,sporty,sporty,1
t-shirt,legging,blazer,streetwear,formal,casual,casual,0
t-shirt,jogger,jacket,casual,streetwear,casual,casual,1
dress,none,sweater,vintage,casual,casual,casual,1
t-shirt,cargo,hoodie,vintage,casual,vintage,vintage,1
shirt,jogger,sweater,casual,casual,vintage,casual,1
shirt,cargo,jacket,streetwear,casual,formal,formal,0
t-shirt,skirt,hoodie,streetwear,streetwear,casual,streetwear,1
t-shirt,skirt,hoodie,streetwear,formal,formal,formal,1
t-shirt,cargo,coat,formal,streetwear,streetwear,streetwear,1
t-shirt,trousers,blazer,formal,streetwear,formal,formal,1
shirt,jeans,sweater,streetwear,formal,vintage,formal,0
t-shirt,cargo,coat,sporty,streetwear,sporty,sporty,1
t-shirt,legging,hoodie,casual,casual,vintage,casual,1
shirt,trousers,blazer,vintage,streetwear,sporty,vintage,0
shirt,jeans,coat,sporty,sporty,casual,sporty,1
t-shirt,legging,jacket,vintage,casual,formal,vintage,0
t-shirt,legging,sweater,casual,streetwear,streetwear,casual,0
shirt,shorts,blazer,formal,sporty,sporty,sporty,1
t-shirt,legging,hoodie,casual,vintage,vintage,vintage,1
dress,none,hoodie,vintage,streetwear,streetwear,streetwear,1
t-shirt,jogger,jacket,casual,vintage,streetwear,streetwear,0
shirt,legging,coat,vintage,formal,formal,streetwear,0
shirt,legging,jacket,sporty,streetwear,sporty,sporty,1
t-shirt,jogger,blazer,casual,casual,sporty,casual,1
dress,none,hoodie,sporty,streetwear,sporty,sporty,1
t-shirt,cargo,hoodie,sporty,vintage,vintage,vintage,1
shirt,shorts,hoodie,formal,formal,streetwear,casual,0
shirt,jogger,jacket,sporty,sporty,casual,sporty,1
shirt,cargo,jacket,streetwear,sporty,casual,streetwear,0
shirt,legging,hoodie,vintage,streetwear,casual,casual,0
shirt,trousers,blazer,streetwear,streetwear,vintage,streetwear,1
dress,none,coat,casual,casual,streetwear,casual,1
shirt,cargo,sweater,sporty,streetwear,streetwear,streetwear,1
t-shirt,jogger,jacket,vintage,casual,casual,casual,1
t-shirt,skirt,jacket,sporty,casual,streetwear,streetwear,0
t-shirt,jeans,sweater,sporty,sporty,streetwear,sporty,1
t-shirt,skirt,hoodie,streetwear,streetwear,casual,formal,0
shirt,legging,jacket,vintage,casual,sporty,casual,0
dress,none,jacket,streetwear,streetwear,sporty,streetwear,1
t-shirt,skirt,coat,streetwear,casual,streetwear,sporty,0
t-shirt,trousers,blazer,vintage,sporty,sporty,sporty,1
shirt,skirt,hoodie,sporty,vintage,sporty,sporty,1
shirt,jeans,jacket,streetwear,vintage,vintage,sporty,0
t-shirt,skirt,jacket,streetwear,sporty,sporty,sporty,1
shirt,shorts,jacket,vintage,vintage,sporty,vintage,1
shirt,trousers,sweater,formal,sporty,formal,formal,1
t-shirt,skirt,sweater,sporty,sporty,streetwear,sporty,1
shirt,jeans,sweater,formal,formal,sporty,formal,1
shirt,legging,blazer,sporty,casual,casual,formal,0
shirt,shorts,sweater,formal,casual,formal,formal,1
t-shirt,trousers,hoodie,formal,casual,casual,streetwear,0
shirt,cargo,jacket,formal,casual,casual,casual,1
shirt,jogger,jacket,streetwear,vintage,vintage,sporty,0
t-shirt,cargo,blazer,formal,vintage,sporty,sporty,0
shirt,jogger,sweater,casual,formal,casual,casual,1
t-shirt,shorts,sweater,vintage,streetwear,vintage,streetwear,0
t-shirt,jeans,jacket,streetwear,streetwear,vintage,sporty,0
dress,none,hoodie,casual,vintage,casual,casual,1
t-shirt,shorts,sweater,casual,sporty,casual,vintage,0
t-shirt,jogger,coat,streetwear,vintage,casual,casual,0
shirt,jeans,jacket,formal,streetwear,casual,streetwear,0
t-shirt,shorts,hoodie,casual,sporty,casual,formal,0
t-shirt,jeans,blazer,formal,sporty,formal,formal,1
shirt,jeans,blazer,sporty,streetwear,sporty,sporty,1
t-shirt,jogger,blazer,streetwear,streetwear,formal,formal,0
t-shirt,jeans,jacket,sporty,streetwear,streetwear,streetwear,1
t-shirt,jeans,sweater,streetwear,streetwear,sporty,streetwear,1
shirt,skirt,blazer,streetwear,streetwear,formal,streetwear,1
t-shirt,jeans,hoodie,vintage,casual,sporty,vintage,0
t-shirt,jeans,blazer,streetwear,streetwear,vintage,streetwear,1
shirt,trousers,hoodie,casual,formal,formal,vintage,0
shirt,jeans,jacket,vintage,casual,vintage,vintage,1
